"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1785","TC_02 |Verify login user with correct email and password","chromium","Wed Mar 25 01:55:32 UTC 2026","passed","Wed Mar 25 01:55:34 UTC 2026","Login User with correct email and password","loginUserWithCorrectEmailAndPassword.spec.js","",""
"","954","TC_11 | Verify subscription in cart page","chromium","Wed Mar 25 01:55:18 UTC 2026","passed","Wed Mar 25 01:55:19 UTC 2026","Verify Subscription in Cart page","cartPage.spec.js","",""
"","1582","TC_05 |Verify register user with existing email","chromium","Wed Mar 25 01:56:02 UTC 2026","passed","Wed Mar 25 01:56:03 UTC 2026","Register User with existing email","registerUserWithExistingEmail.spec.js","",""
"","7646","TC_24 |Verify download invoice after purchase order","chromium","Wed Mar 25 01:55:23 UTC 2026","passed","Wed Mar 25 01:55:31 UTC 2026","Download Invoice after purchase order","downloadInvoiceAfterPurchaseOrder.spec.js","",""
"","7221","TC_14 |Verify Place Order: register while checkout","chromium","Wed Mar 25 01:55:38 UTC 2026","passed","Wed Mar 25 01:55:45 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","2990","TC_17 |Verify remove products from cart","chromium","Wed Mar 25 01:56:03 UTC 2026","passed","Wed Mar 25 01:56:06 UTC 2026","Remove Products From Cart","removeProductsFromCartPage.spec.js","",""
"","9230","TC_22 |Verify add to cart from recommended items","chromium","Wed Mar 25 01:55:07 UTC 2026","passed","Wed Mar 25 01:55:17 UTC 2026","Add to cart from Recommended items","addToCartFromRecommendedItems.spec.js","",""
"","4878","TC_23 |Verify address details in checkout page","chromium","Wed Mar 25 01:56:15 UTC 2026","passed","Wed Mar 25 01:56:20 UTC 2026","Verify address details in checkout page","verifyAddressDetailsInCheckoutPage.spec.js","",""
"","7337","TC_15 |Verify Place Order: register before checkout","chromium","Wed Mar 25 01:55:45 UTC 2026","passed","Wed Mar 25 01:55:52 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","1550","TC_08 |Verify all products and product detail page","chromium","Wed Mar 25 01:55:17 UTC 2026","passed","Wed Mar 25 01:55:18 UTC 2026","Verify All Products and product detail page","allProductsAndProductsDetailPage.spec.js","",""
"","2430","TC_09 |Verify search product","chromium","Wed Mar 25 01:56:06 UTC 2026","passed","Wed Mar 25 01:56:09 UTC 2026","Search Product","searchProductPage.spec.js","",""
"","4115","TC_20 |Verify search products and verify cart after login","chromium","Wed Mar 25 01:56:09 UTC 2026","passed","Wed Mar 25 01:56:13 UTC 2026","Search Products and Verify Cart After Login","searchProductsAndVerifyCartAfterLogin.spec.js","",""
"","1426","TC_10 | Verify subscription in home page","chromium","Wed Mar 25 01:55:31 UTC 2026","passed","Wed Mar 25 01:55:32 UTC 2026","Verify Subscription in home page","homePage.spec.js","",""
"","1991","TC_13 |Verify product quantity in cart","chromium","Wed Mar 25 01:56:20 UTC 2026","passed","Wed Mar 25 01:56:22 UTC 2026","Product quantity in Cart","verifyProductQuantityInCartPage.spec.js","",""
"","1990","TC_18 |Verify view category products","chromium","Wed Mar 25 01:56:29 UTC 2026","passed","Wed Mar 25 01:56:31 UTC 2026","View Category Products","viewCategoryProductsPage.spec.js","",""
"","1451","TC_03 |Verify login user with incorrect email and password","chromium","Wed Mar 25 01:55:34 UTC 2026","passed","Wed Mar 25 01:55:36 UTC 2026","Login User with incorrect email and password","loginUserWithIncorrectEmail.spec.js","",""
