"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6942","TC_24 |Verify download invoice after purchase order","chromium","Mon Apr 20 14:38:04 UTC 2026","passed","Mon Apr 20 14:38:11 UTC 2026","Download Invoice after purchase order","downloadInvoiceAfterPurchaseOrder.spec.js","",""
"","1149","TC_07 |Verify test cases page","chromium","Mon Apr 20 14:39:10 UTC 2026","passed","Mon Apr 20 14:39:11 UTC 2026","Test Cases Page","testCasesPage.spec.js","",""
"","1787","TC_02 |Verify login user with correct email and password","chromium","Mon Apr 20 14:38:12 UTC 2026","passed","Mon Apr 20 14:38:14 UTC 2026","Login User with correct email and password","loginUserWithCorrectEmailAndPassword.spec.js","",""
"","3914","TC_06 |Verify contact us form","chromium","Mon Apr 20 14:38:00 UTC 2026","passed","Mon Apr 20 14:38:04 UTC 2026","Contact Us Form","contactUsFormPage.spec.js","",""
"","2374","TC_13 |Verify product quantity in cart","chromium","Mon Apr 20 14:39:16 UTC 2026","passed","Mon Apr 20 14:39:18 UTC 2026","Product quantity in Cart","verifyProductQuantityInCartPage.spec.js","",""
"","1799","TC_21 |Verify add review on product","chromium","Mon Apr 20 14:37:47 UTC 2026","passed","Mon Apr 20 14:37:49 UTC 2026","Add review on product","addReviewOnProduct.spec.js","",""
"","7930","TC_22 |Verify add to cart from recommended items","chromium","Mon Apr 20 14:37:49 UTC 2026","passed","Mon Apr 20 14:37:57 UTC 2026","Add to cart from Recommended items","addToCartFromRecommendedItems.spec.js","",""
"","1227","TC_11 | Verify subscription in cart page","chromium","Mon Apr 20 14:37:59 UTC 2026","passed","Mon Apr 20 14:38:00 UTC 2026","Verify Subscription in Cart page","cartPage.spec.js","",""
"","2810","TC_04 |Verify logout user","chromium","Mon Apr 20 14:38:16 UTC 2026","passed","Mon Apr 20 14:38:18 UTC 2026","Logout User","logoutUser.spec.js","",""
"","2794","TC_26 |Verify scroll up without 'Arrow' button and scroll down functionality","chromium","Mon Apr 20 14:39:21 UTC 2026","passed","Mon Apr 20 14:39:24 UTC 2026","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","verifyScrollUpWithoutArrowButtonAndScrollDown.spec.js","",""
"","6802","TC_01 |Verify register user","chromium","Mon Apr 20 14:38:53 UTC 2026","passed","Mon Apr 20 14:39:00 UTC 2026","Register User","registerUserPage.spec.js","",""
"","1946","TC_19 |Verify view and cart brand products","chromium","Mon Apr 20 14:39:24 UTC 2026","passed","Mon Apr 20 14:39:26 UTC 2026","View and Cart Brand Products","viewCartBrandProducts.spec.js","",""
"","1743","TC_08 |Verify all products and product detail page","chromium","Mon Apr 20 14:37:57 UTC 2026","passed","Mon Apr 20 14:37:59 UTC 2026","Verify All Products and product detail page","allProductsAndProductsDetailPage.spec.js","",""
"","1351","TC_03 |Verify login user with incorrect email and password","chromium","Mon Apr 20 14:38:14 UTC 2026","passed","Mon Apr 20 14:38:16 UTC 2026","Login User with incorrect email and password","loginUserWithIncorrectEmail.spec.js","",""
"","1897","TC_18 |Verify view category products","chromium","Mon Apr 20 14:39:26 UTC 2026","passed","Mon Apr 20 14:39:28 UTC 2026","View Category Products","viewCategoryProductsPage.spec.js","",""
"","2773","TC_17 |Verify remove products from cart","chromium","Mon Apr 20 14:39:02 UTC 2026","passed","Mon Apr 20 14:39:04 UTC 2026","Remove Products From Cart","removeProductsFromCartPage.spec.js","",""
"","6273","TC_15 |Verify Place Order: register before checkout","chromium","Mon Apr 20 14:38:25 UTC 2026","passed","Mon Apr 20 14:38:32 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","6944","TC_14 |Verify Place Order: register while checkout","chromium","Mon Apr 20 14:38:18 UTC 2026","passed","Mon Apr 20 14:38:25 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","5348","TC_12 | Verify add products in cart","chromium","Mon Apr 20 14:37:42 UTC 2026","passed","Mon Apr 20 14:37:47 UTC 2026","Add Products in Cart","addProductsInCartPage.spec.js","",""
"","21723","TC_16 |Verify Place Order: login before checkout","chromium","Mon Apr 20 14:38:32 UTC 2026","passed","Mon Apr 20 14:38:53 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
