"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1939","TC_13 |Verify product quantity in cart","chromium","Mon Mar 23 23:51:24 UTC 2026","passed","Mon Mar 23 23:51:26 UTC 2026","Product quantity in Cart","verifyProductQuantityInCartPage.spec.js","",""
"","5210","TC_01 |Verify register user","chromium","Mon Mar 23 23:51:06 UTC 2026","passed","Mon Mar 23 23:51:11 UTC 2026","Register User","registerUserPage.spec.js","",""
"","3394","TC_26 |Verify scroll up without 'Arrow' button and scroll down functionality","chromium","Mon Mar 23 23:51:29 UTC 2026","passed","Mon Mar 23 23:51:33 UTC 2026","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","verifyScrollUpWithoutArrowButtonAndScrollDown.spec.js","",""
"","1604","TC_09 |Verify search product","chromium","Mon Mar 23 23:51:15 UTC 2026","passed","Mon Mar 23 23:51:16 UTC 2026","Search Product","searchProductPage.spec.js","",""
"","6861","TC_14 |Verify Place Order: register while checkout","chromium","Mon Mar 23 23:50:47 UTC 2026","passed","Mon Mar 23 23:50:54 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","3581","TC_23 |Verify address details in checkout page","chromium","Mon Mar 23 23:51:21 UTC 2026","passed","Mon Mar 23 23:51:24 UTC 2026","Verify address details in checkout page","verifyAddressDetailsInCheckoutPage.spec.js","",""
"","1154","TC_11 | Verify subscription in cart page","chromium","Mon Mar 23 23:50:13 UTC 2026","passed","Mon Mar 23 23:50:15 UTC 2026","Verify Subscription in Cart page","cartPage.spec.js","",""
"","5815","TC_16 |Verify Place Order: login before checkout","chromium","Mon Mar 23 23:51:00 UTC 2026","passed","Mon Mar 23 23:51:06 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","3320","TC_20 |Verify search products and verify cart after login","chromium","Mon Mar 23 23:51:16 UTC 2026","passed","Mon Mar 23 23:51:20 UTC 2026","Search Products and Verify Cart After Login","searchProductsAndVerifyCartAfterLogin.spec.js","",""
"","1717","TC_19 |Verify view and cart brand products","chromium","Mon Mar 23 23:51:33 UTC 2026","passed","Mon Mar 23 23:51:34 UTC 2026","View and Cart Brand Products","viewCartBrandProducts.spec.js","",""
"","1360","TC_18 |Verify view category products","chromium","Mon Mar 23 23:51:34 UTC 2026","passed","Mon Mar 23 23:51:36 UTC 2026","View Category Products","viewCategoryProductsPage.spec.js","",""
"","1113","TC_10 | Verify subscription in home page","chromium","Mon Mar 23 23:50:37 UTC 2026","passed","Mon Mar 23 23:50:38 UTC 2026","Verify Subscription in home page","homePage.spec.js","",""
"","1605","TC_21 |Verify add review on product","chromium","Mon Mar 23 23:50:02 UTC 2026","passed","Mon Mar 23 23:50:04 UTC 2026","Add review on product","addReviewOnProduct.spec.js","",""
"","1419","TC_03 |Verify login user with incorrect email and password","chromium","Mon Mar 23 23:50:40 UTC 2026","passed","Mon Mar 23 23:50:42 UTC 2026","Login User with incorrect email and password","loginUserWithIncorrectEmail.spec.js","",""
"","8341","TC_06 |Verify contact us form","chromium","Mon Mar 23 23:50:19 UTC 2026","failed","Mon Mar 23 23:50:28 UTC 2026","Contact Us Form","contactUsFormPage.spec.js","",""
"","2270","TC_17 |Verify remove products from cart","chromium","Mon Mar 23 23:51:12 UTC 2026","passed","Mon Mar 23 23:51:15 UTC 2026","Remove Products From Cart","removeProductsFromCartPage.spec.js","",""
"","8464","TC_24 |Verify download invoice after purchase order","chromium","Mon Mar 23 23:50:29 UTC 2026","passed","Mon Mar 23 23:50:37 UTC 2026","Download Invoice after purchase order","downloadInvoiceAfterPurchaseOrder.spec.js","",""
"","1300","TC_05 |Verify register user with existing email","chromium","Mon Mar 23 23:51:11 UTC 2026","passed","Mon Mar 23 23:51:12 UTC 2026","Register User with existing email","registerUserWithExistingEmail.spec.js","",""
"","7993","TC_22 |Verify add to cart from recommended items","chromium","Mon Mar 23 23:50:04 UTC 2026","passed","Mon Mar 23 23:50:12 UTC 2026","Add to cart from Recommended items","addToCartFromRecommendedItems.spec.js","",""
"","1074","TC_07 |Verify test cases page","chromium","Mon Mar 23 23:51:20 UTC 2026","passed","Mon Mar 23 23:51:21 UTC 2026","Test Cases Page","testCasesPage.spec.js","",""
"","3110","TC_25 |Verify scroll up using 'Arrow' button and scroll down functionality","chromium","Mon Mar 23 23:51:26 UTC 2026","passed","Mon Mar 23 23:51:29 UTC 2026","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","verifyScrollUpUsingArrowButtonAndScrollDown.spec.js","",""
"","5335","TC_04 |Verify logout user","chromium","Mon Mar 23 23:50:42 UTC 2026","passed","Mon Mar 23 23:50:47 UTC 2026","Logout User","logoutUser.spec.js","",""
"","6036","TC_15 |Verify Place Order: register before checkout","chromium","Mon Mar 23 23:50:54 UTC 2026","passed","Mon Mar 23 23:51:00 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","1842","TC_02 |Verify login user with correct email and password","chromium","Mon Mar 23 23:50:38 UTC 2026","passed","Mon Mar 23 23:50:40 UTC 2026","Login User with correct email and password","loginUserWithCorrectEmailAndPassword.spec.js","",""
"","3645","TC_12 | Verify add products in cart","chromium","Mon Mar 23 23:49:58 UTC 2026","passed","Mon Mar 23 23:50:02 UTC 2026","Add Products in Cart","addProductsInCartPage.spec.js","",""
"","1550","TC_08 |Verify all products and product detail page","chromium","Mon Mar 23 23:50:12 UTC 2026","passed","Mon Mar 23 23:50:13 UTC 2026","Verify All Products and product detail page","allProductsAndProductsDetailPage.spec.js","",""
