"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7113","TC_14 |Verify Place Order: register while checkout","chromium","Tue Mar 24 00:45:00 UTC 2026","passed","Tue Mar 24 00:45:07 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","3843","TC_23 |Verify address details in checkout page","chromium","Tue Mar 24 00:45:32 UTC 2026","passed","Tue Mar 24 00:45:36 UTC 2026","Verify address details in checkout page","verifyAddressDetailsInCheckoutPage.spec.js","",""
"","3667","TC_20 |Verify search products and verify cart after login","chromium","Tue Mar 24 00:45:27 UTC 2026","passed","Tue Mar 24 00:45:31 UTC 2026","Search Products and Verify Cart After Login","searchProductsAndVerifyCartAfterLogin.spec.js","",""
"","2005","TC_13 |Verify product quantity in cart","chromium","Tue Mar 24 00:45:36 UTC 2026","passed","Tue Mar 24 00:45:38 UTC 2026","Product quantity in Cart","verifyProductQuantityInCartPage.spec.js","",""
"","1513","TC_08 |Verify all products and product detail page","chromium","Tue Mar 24 00:44:43 UTC 2026","passed","Tue Mar 24 00:44:44 UTC 2026","Verify All Products and product detail page","allProductsAndProductsDetailPage.spec.js","",""
"","2284","TC_19 |Verify view and cart brand products","chromium","Tue Mar 24 00:45:44 UTC 2026","passed","Tue Mar 24 00:45:46 UTC 2026","View and Cart Brand Products","viewCartBrandProducts.spec.js","",""
"","2675","TC_17 |Verify remove products from cart","chromium","Tue Mar 24 00:45:23 UTC 2026","passed","Tue Mar 24 00:45:26 UTC 2026","Remove Products From Cart","removeProductsFromCartPage.spec.js","",""
"","8473","TC_22 |Verify add to cart from recommended items","chromium","Tue Mar 24 00:44:34 UTC 2026","passed","Tue Mar 24 00:44:43 UTC 2026","Add to cart from Recommended items","addToCartFromRecommendedItems.spec.js","",""
"","1510","TC_02 |Verify login user with correct email and password","chromium","Tue Mar 24 00:44:55 UTC 2026","passed","Tue Mar 24 00:44:57 UTC 2026","Login User with correct email and password","loginUserWithCorrectEmailAndPassword.spec.js","",""
"","1427","TC_09 |Verify search product","chromium","Tue Mar 24 00:45:26 UTC 2026","passed","Tue Mar 24 00:45:27 UTC 2026","Search Product","searchProductPage.spec.js","",""
"","1085","TC_03 |Verify login user with incorrect email and password","chromium","Tue Mar 24 00:44:57 UTC 2026","passed","Tue Mar 24 00:44:58 UTC 2026","Login User with incorrect email and password","loginUserWithIncorrectEmail.spec.js","",""
"","1209","TC_05 |Verify register user with existing email","chromium","Tue Mar 24 00:45:22 UTC 2026","passed","Tue Mar 24 00:45:23 UTC 2026","Register User with existing email","registerUserWithExistingEmail.spec.js","",""
"","6004","TC_15 |Verify Place Order: register before checkout","chromium","Tue Mar 24 00:45:07 UTC 2026","passed","Tue Mar 24 00:45:13 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","3384","TC_12 | Verify add products in cart","chromium","Tue Mar 24 00:44:28 UTC 2026","passed","Tue Mar 24 00:44:31 UTC 2026","Add Products in Cart","addProductsInCartPage.spec.js","",""
"","6754","TC_24 |Verify download invoice after purchase order","chromium","Tue Mar 24 00:44:48 UTC 2026","passed","Tue Mar 24 00:44:54 UTC 2026","Download Invoice after purchase order","downloadInvoiceAfterPurchaseOrder.spec.js","",""
"","971","TC_11 | Verify subscription in cart page","chromium","Tue Mar 24 00:44:44 UTC 2026","passed","Tue Mar 24 00:44:45 UTC 2026","Verify Subscription in Cart page","cartPage.spec.js","",""
"","4412","TC_01 |Verify register user","chromium","Tue Mar 24 00:45:17 UTC 2026","passed","Tue Mar 24 00:45:22 UTC 2026","Register User","registerUserPage.spec.js","",""
"","2258","TC_21 |Verify add review on product","chromium","Tue Mar 24 00:44:32 UTC 2026","passed","Tue Mar 24 00:44:34 UTC 2026","Add review on product","addReviewOnProduct.spec.js","",""
"","2344","TC_06 |Verify contact us form","chromium","Tue Mar 24 00:44:45 UTC 2026","passed","Tue Mar 24 00:44:48 UTC 2026","Contact Us Form","contactUsFormPage.spec.js","",""
"","3022","TC_26 |Verify scroll up without 'Arrow' button and scroll down functionality","chromium","Tue Mar 24 00:45:41 UTC 2026","passed","Tue Mar 24 00:45:44 UTC 2026","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","verifyScrollUpWithoutArrowButtonAndScrollDown.spec.js","",""
"","1428","TC_07 |Verify test cases page","chromium","Tue Mar 24 00:45:31 UTC 2026","passed","Tue Mar 24 00:45:32 UTC 2026","Test Cases Page","testCasesPage.spec.js","",""
"","1893","TC_18 |Verify view category products","chromium","Tue Mar 24 00:45:46 UTC 2026","passed","Tue Mar 24 00:45:48 UTC 2026","View Category Products","viewCategoryProductsPage.spec.js","",""
"","884","TC_10 | Verify subscription in home page","chromium","Tue Mar 24 00:44:54 UTC 2026","passed","Tue Mar 24 00:44:55 UTC 2026","Verify Subscription in home page","homePage.spec.js","",""
"","4444","TC_16 |Verify Place Order: login before checkout","chromium","Tue Mar 24 00:45:13 UTC 2026","passed","Tue Mar 24 00:45:17 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","1920","TC_04 |Verify logout user","chromium","Tue Mar 24 00:44:58 UTC 2026","passed","Tue Mar 24 00:45:00 UTC 2026","Logout User","logoutUser.spec.js","",""
"","2602","TC_25 |Verify scroll up using 'Arrow' button and scroll down functionality","chromium","Tue Mar 24 00:45:38 UTC 2026","passed","Tue Mar 24 00:45:41 UTC 2026","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","verifyScrollUpUsingArrowButtonAndScrollDown.spec.js","",""
