"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3165","TC_12 | Verify add products in cart","chromium","Tue Mar 24 01:05:25 UTC 2026","passed","Tue Mar 24 01:05:28 UTC 2026","Add Products in Cart","addProductsInCartPage.spec.js","",""
"","3429","TC_23 |Verify address details in checkout page","chromium","Tue Mar 24 01:06:31 UTC 2026","passed","Tue Mar 24 01:06:35 UTC 2026","Verify address details in checkout page","verifyAddressDetailsInCheckoutPage.spec.js","",""
"","1183","TC_10 | Verify subscription in home page","chromium","Tue Mar 24 01:05:54 UTC 2026","passed","Tue Mar 24 01:05:55 UTC 2026","Verify Subscription in home page","homePage.spec.js","",""
"","6274","TC_15 |Verify Place Order: register before checkout","chromium","Tue Mar 24 01:06:07 UTC 2026","passed","Tue Mar 24 01:06:13 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","720","TC_07 |Verify test cases page","chromium","Tue Mar 24 01:06:31 UTC 2026","passed","Tue Mar 24 01:06:31 UTC 2026","Test Cases Page","testCasesPage.spec.js","",""
"","2739","TC_26 |Verify scroll up without 'Arrow' button and scroll down functionality","chromium","Tue Mar 24 01:06:39 UTC 2026","passed","Tue Mar 24 01:06:42 UTC 2026","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","verifyScrollUpWithoutArrowButtonAndScrollDown.spec.js","",""
"","1514","TC_09 |Verify search product","chromium","Tue Mar 24 01:06:26 UTC 2026","passed","Tue Mar 24 01:06:28 UTC 2026","Search Product","searchProductPage.spec.js","",""
"","1430","TC_18 |Verify view category products","chromium","Tue Mar 24 01:06:44 UTC 2026","passed","Tue Mar 24 01:06:45 UTC 2026","View Category Products","viewCategoryProductsPage.spec.js","",""
"","1572","TC_13 |Verify product quantity in cart","chromium","Tue Mar 24 01:06:35 UTC 2026","passed","Tue Mar 24 01:06:37 UTC 2026","Product quantity in Cart","verifyProductQuantityInCartPage.spec.js","",""
"","2889","TC_20 |Verify search products and verify cart after login","chromium","Tue Mar 24 01:06:28 UTC 2026","passed","Tue Mar 24 01:06:31 UTC 2026","Search Products and Verify Cart After Login","searchProductsAndVerifyCartAfterLogin.spec.js","",""
