"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","907","TC_10 | Verify subscription in home page","chromium","Tue Mar 24 02:55:36 UTC 2026","passed","Tue Mar 24 02:55:37 UTC 2026","Verify Subscription in home page","homePage.spec.js","",""
"","7057","TC_14 |Verify Place Order: register while checkout","chromium","Tue Mar 24 02:55:43 UTC 2026","passed","Tue Mar 24 02:55:50 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","7042","TC_24 |Verify download invoice after purchase order","chromium","Tue Mar 24 02:55:29 UTC 2026","passed","Tue Mar 24 02:55:36 UTC 2026","Download Invoice after purchase order","downloadInvoiceAfterPurchaseOrder.spec.js","",""
"","4412","TC_16 |Verify Place Order: login before checkout","chromium","Tue Mar 24 02:55:57 UTC 2026","passed","Tue Mar 24 02:56:01 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","4409","TC_01 |Verify register user","chromium","Tue Mar 24 02:56:01 UTC 2026","passed","Tue Mar 24 02:56:06 UTC 2026","Register User","registerUserPage.spec.js","",""
"","1709","TC_19 |Verify view and cart brand products","chromium","Tue Mar 24 02:56:29 UTC 2026","passed","Tue Mar 24 02:56:30 UTC 2026","View and Cart Brand Products","viewCartBrandProducts.spec.js","",""
"","889","TC_11 | Verify subscription in cart page","chromium","Tue Mar 24 02:55:26 UTC 2026","passed","Tue Mar 24 02:55:27 UTC 2026","Verify Subscription in Cart page","cartPage.spec.js","",""
"","2068","TC_17 |Verify remove products from cart","chromium","Tue Mar 24 02:56:07 UTC 2026","passed","Tue Mar 24 02:56:09 UTC 2026","Remove Products From Cart","removeProductsFromCartPage.spec.js","",""
"","1468","TC_08 |Verify all products and product detail page","chromium","Tue Mar 24 02:55:24 UTC 2026","passed","Tue Mar 24 02:55:26 UTC 2026","Verify All Products and product detail page","allProductsAndProductsDetailPage.spec.js","",""
"","7813","TC_22 |Verify add to cart from recommended items","chromium","Tue Mar 24 02:55:16 UTC 2026","passed","Tue Mar 24 02:55:24 UTC 2026","Add to cart from Recommended items","addToCartFromRecommendedItems.spec.js","",""
"","3386","TC_04 |Verify logout user","chromium","Tue Mar 24 02:55:40 UTC 2026","passed","Tue Mar 24 02:55:43 UTC 2026","Logout User","logoutUser.spec.js","",""
"","3498","TC_12 | Verify add products in cart","chromium","Tue Mar 24 02:55:10 UTC 2026","passed","Tue Mar 24 02:55:13 UTC 2026","Add Products in Cart","addProductsInCartPage.spec.js","",""
"","989","TC_07 |Verify test cases page","chromium","Tue Mar 24 02:56:16 UTC 2026","passed","Tue Mar 24 02:56:17 UTC 2026","Test Cases Page","testCasesPage.spec.js","",""
"","1110","TC_03 |Verify login user with incorrect email and password","chromium","Tue Mar 24 02:55:39 UTC 2026","passed","Tue Mar 24 02:55:40 UTC 2026","Login User with incorrect email and password","loginUserWithIncorrectEmail.spec.js","",""
"","2026","TC_21 |Verify add review on product","chromium","Tue Mar 24 02:55:14 UTC 2026","passed","Tue Mar 24 02:55:16 UTC 2026","Add review on product","addReviewOnProduct.spec.js","",""
"","1493","TC_09 |Verify search product","chromium","Tue Mar 24 02:56:09 UTC 2026","passed","Tue Mar 24 02:56:10 UTC 2026","Search Product","searchProductPage.spec.js","",""
"","2920","TC_25 |Verify scroll up using 'Arrow' button and scroll down functionality","chromium","Tue Mar 24 02:56:23 UTC 2026","passed","Tue Mar 24 02:56:25 UTC 2026","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","verifyScrollUpUsingArrowButtonAndScrollDown.spec.js","",""
"","4050","TC_23 |Verify address details in checkout page","chromium","Tue Mar 24 02:56:17 UTC 2026","passed","Tue Mar 24 02:56:21 UTC 2026","Verify address details in checkout page","verifyAddressDetailsInCheckoutPage.spec.js","",""
"","1181","TC_05 |Verify register user with existing email","chromium","Tue Mar 24 02:56:06 UTC 2026","passed","Tue Mar 24 02:56:07 UTC 2026","Register User with existing email","registerUserWithExistingEmail.spec.js","",""
"","2124","TC_06 |Verify contact us form","chromium","Tue Mar 24 02:55:27 UTC 2026","passed","Tue Mar 24 02:55:29 UTC 2026","Contact Us Form","contactUsFormPage.spec.js","",""
"","1904","TC_02 |Verify login user with correct email and password","chromium","Tue Mar 24 02:55:37 UTC 2026","passed","Tue Mar 24 02:55:39 UTC 2026","Login User with correct email and password","loginUserWithCorrectEmailAndPassword.spec.js","",""
"","3094","TC_26 |Verify scroll up without 'Arrow' button and scroll down functionality","chromium","Tue Mar 24 02:56:25 UTC 2026","passed","Tue Mar 24 02:56:29 UTC 2026","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","verifyScrollUpWithoutArrowButtonAndScrollDown.spec.js","",""
"","1364","TC_18 |Verify view category products","chromium","Tue Mar 24 02:56:30 UTC 2026","passed","Tue Mar 24 02:56:32 UTC 2026","View Category Products","viewCategoryProductsPage.spec.js","",""
"","1672","TC_13 |Verify product quantity in cart","chromium","Tue Mar 24 02:56:21 UTC 2026","passed","Tue Mar 24 02:56:23 UTC 2026","Product quantity in Cart","verifyProductQuantityInCartPage.spec.js","",""
"","5318","TC_20 |Verify search products and verify cart after login","chromium","Tue Mar 24 02:56:10 UTC 2026","passed","Tue Mar 24 02:56:16 UTC 2026","Search Products and Verify Cart After Login","searchProductsAndVerifyCartAfterLogin.spec.js","",""
"","6655","TC_15 |Verify Place Order: register before checkout","chromium","Tue Mar 24 02:55:50 UTC 2026","passed","Tue Mar 24 02:55:57 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
