"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8020","TC_14 |Verify Place Order: register while checkout","chromium","Wed Mar 25 01:35:44 UTC 2026","passed","Wed Mar 25 01:35:52 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","3319","TC_17 |Verify remove products from cart","chromium","Wed Mar 25 01:36:11 UTC 2026","passed","Wed Mar 25 01:36:14 UTC 2026","Remove Products From Cart","removeProductsFromCartPage.spec.js","",""
"","4748","TC_01 |Verify register user","chromium","Wed Mar 25 01:36:05 UTC 2026","passed","Wed Mar 25 01:36:10 UTC 2026","Register User","registerUserPage.spec.js","",""
"","1293","TC_05 |Verify register user with existing email","chromium","Wed Mar 25 01:36:10 UTC 2026","passed","Wed Mar 25 01:36:11 UTC 2026","Register User with existing email","registerUserWithExistingEmail.spec.js","",""
"","1680","TC_19 |Verify view and cart brand products","chromium","Wed Mar 25 01:36:33 UTC 2026","passed","Wed Mar 25 01:36:34 UTC 2026","View and Cart Brand Products","viewCartBrandProducts.spec.js","",""
"","1533","TC_09 |Verify search product","chromium","Wed Mar 25 01:36:14 UTC 2026","passed","Wed Mar 25 01:36:16 UTC 2026","Search Product","searchProductPage.spec.js","",""
"","4674","TC_16 |Verify Place Order: login before checkout","chromium","Wed Mar 25 01:36:00 UTC 2026","passed","Wed Mar 25 01:36:05 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","1689","TC_18 |Verify view category products","chromium","Wed Mar 25 01:36:34 UTC 2026","passed","Wed Mar 25 01:36:36 UTC 2026","View Category Products","viewCategoryProductsPage.spec.js","",""
"","6722","TC_24 |Verify download invoice after purchase order","chromium","Wed Mar 25 01:35:31 UTC 2026","passed","Wed Mar 25 01:35:37 UTC 2026","Download Invoice after purchase order","downloadInvoiceAfterPurchaseOrder.spec.js","",""
"","2869","TC_25 |Verify scroll up using 'Arrow' button and scroll down functionality","chromium","Wed Mar 25 01:36:27 UTC 2026","passed","Wed Mar 25 01:36:30 UTC 2026","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","verifyScrollUpUsingArrowButtonAndScrollDown.spec.js","",""
"","1157","TC_03 |Verify login user with incorrect email and password","chromium","Wed Mar 25 01:35:40 UTC 2026","passed","Wed Mar 25 01:35:42 UTC 2026","Login User with incorrect email and password","loginUserWithIncorrectEmail.spec.js","",""
"","2666","TC_12 | Verify add products in cart","chromium","Wed Mar 25 01:35:08 UTC 2026","passed","Wed Mar 25 01:35:11 UTC 2026","Add Products in Cart","addProductsInCartPage.spec.js","",""
"","4064","TC_23 |Verify address details in checkout page","chromium","Wed Mar 25 01:36:21 UTC 2026","passed","Wed Mar 25 01:36:25 UTC 2026","Verify address details in checkout page","verifyAddressDetailsInCheckoutPage.spec.js","",""
"","7649","TC_22 |Verify add to cart from recommended items","chromium","Wed Mar 25 01:35:13 UTC 2026","passed","Wed Mar 25 01:35:21 UTC 2026","Add to cart from Recommended items","addToCartFromRecommendedItems.spec.js","",""
"","8252","TC_15 |Verify Place Order: register before checkout","chromium","Wed Mar 25 01:35:52 UTC 2026","passed","Wed Mar 25 01:36:00 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","1402","TC_21 |Verify add review on product","chromium","Wed Mar 25 01:35:12 UTC 2026","passed","Wed Mar 25 01:35:13 UTC 2026","Add review on product","addReviewOnProduct.spec.js","",""
