"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2706","TC_25 |Verify scroll up using 'Arrow' button and scroll down functionality","chromium","Mon Apr 20 00:51:55 UTC 2026","passed","Mon Apr 20 00:51:58 UTC 2026","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","verifyScrollUpUsingArrowButtonAndScrollDown.spec.js","",""
"","3217","TC_20 |Verify search products and verify cart after login","chromium","Mon Apr 20 00:51:46 UTC 2026","passed","Mon Apr 20 00:51:49 UTC 2026","Search Products and Verify Cart After Login","searchProductsAndVerifyCartAfterLogin.spec.js","",""
"","769","TC_07 |Verify test cases page","chromium","Mon Apr 20 00:51:49 UTC 2026","passed","Mon Apr 20 00:51:50 UTC 2026","Test Cases Page","testCasesPage.spec.js","",""
"","3466","TC_23 |Verify address details in checkout page","chromium","Mon Apr 20 00:51:50 UTC 2026","passed","Mon Apr 20 00:51:53 UTC 2026","Verify address details in checkout page","verifyAddressDetailsInCheckoutPage.spec.js","",""
"","1420","TC_10 | Verify subscription in home page","chromium","Mon Apr 20 00:51:14 UTC 2026","passed","Mon Apr 20 00:51:15 UTC 2026","Verify Subscription in home page","homePage.spec.js","",""
"","7431","TC_24 |Verify download invoice after purchase order","chromium","Mon Apr 20 00:51:07 UTC 2026","passed","Mon Apr 20 00:51:14 UTC 2026","Download Invoice after purchase order","downloadInvoiceAfterPurchaseOrder.spec.js","",""
"","1570","TC_13 |Verify product quantity in cart","chromium","Mon Apr 20 00:51:53 UTC 2026","passed","Mon Apr 20 00:51:55 UTC 2026","Product quantity in Cart","verifyProductQuantityInCartPage.spec.js","",""
"","3793","TC_01 |Verify register user","chromium","Mon Apr 20 00:51:38 UTC 2026","passed","Mon Apr 20 00:51:41 UTC 2026","Register User","registerUserPage.spec.js","",""
"","2098","TC_12 | Verify add products in cart","chromium","Mon Apr 20 00:50:49 UTC 2026","passed","Mon Apr 20 00:50:51 UTC 2026","Add Products in Cart","addProductsInCartPage.spec.js","",""
"","2901","TC_26 |Verify scroll up without 'Arrow' button and scroll down functionality","chromium","Mon Apr 20 00:51:58 UTC 2026","passed","Mon Apr 20 00:52:00 UTC 2026","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","verifyScrollUpWithoutArrowButtonAndScrollDown.spec.js","",""
"","7604","TC_22 |Verify add to cart from recommended items","chromium","Mon Apr 20 00:50:53 UTC 2026","passed","Mon Apr 20 00:51:00 UTC 2026","Add to cart from Recommended items","addToCartFromRecommendedItems.spec.js","",""
"","1434","TC_21 |Verify add review on product","chromium","Mon Apr 20 00:50:51 UTC 2026","passed","Mon Apr 20 00:50:52 UTC 2026","Add review on product","addReviewOnProduct.spec.js","",""
"","1496","TC_19 |Verify view and cart brand products","chromium","Mon Apr 20 00:52:00 UTC 2026","passed","Mon Apr 20 00:52:02 UTC 2026","View and Cart Brand Products","viewCartBrandProducts.spec.js","",""
"","2128","TC_02 |Verify login user with correct email and password","chromium","Mon Apr 20 00:51:15 UTC 2026","passed","Mon Apr 20 00:51:18 UTC 2026","Login User with correct email and password","loginUserWithCorrectEmailAndPassword.spec.js","",""
"","2138","TC_18 |Verify view category products","chromium","Mon Apr 20 00:52:02 UTC 2026","passed","Mon Apr 20 00:52:04 UTC 2026","View Category Products","viewCategoryProductsPage.spec.js","",""
"","4956","TC_16 |Verify Place Order: login before checkout","chromium","Mon Apr 20 00:51:33 UTC 2026","passed","Mon Apr 20 00:51:38 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","1067","TC_11 | Verify subscription in cart page","chromium","Mon Apr 20 00:51:02 UTC 2026","passed","Mon Apr 20 00:51:03 UTC 2026","Verify Subscription in Cart page","cartPage.spec.js","",""
"","3963","TC_06 |Verify contact us form","chromium","Mon Apr 20 00:51:03 UTC 2026","passed","Mon Apr 20 00:51:07 UTC 2026","Contact Us Form","contactUsFormPage.spec.js","",""
"","1997","TC_17 |Verify remove products from cart","chromium","Mon Apr 20 00:51:42 UTC 2026","passed","Mon Apr 20 00:51:44 UTC 2026","Remove Products From Cart","removeProductsFromCartPage.spec.js","",""
"","1232","TC_09 |Verify search product","chromium","Mon Apr 20 00:51:44 UTC 2026","passed","Mon Apr 20 00:51:46 UTC 2026","Search Product","searchProductPage.spec.js","",""
"","6253","TC_14 |Verify Place Order: register while checkout","chromium","Mon Apr 20 00:51:20 UTC 2026","passed","Mon Apr 20 00:51:27 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","1377","TC_08 |Verify all products and product detail page","chromium","Mon Apr 20 00:51:00 UTC 2026","passed","Mon Apr 20 00:51:02 UTC 2026","Verify All Products and product detail page","allProductsAndProductsDetailPage.spec.js","",""
"","6040","TC_15 |Verify Place Order: register before checkout","chromium","Mon Apr 20 00:51:27 UTC 2026","passed","Mon Apr 20 00:51:33 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","978","TC_05 |Verify register user with existing email","chromium","Mon Apr 20 00:51:41 UTC 2026","passed","Mon Apr 20 00:51:42 UTC 2026","Register User with existing email","registerUserWithExistingEmail.spec.js","",""
"","1078","TC_03 |Verify login user with incorrect email and password","chromium","Mon Apr 20 00:51:18 UTC 2026","passed","Mon Apr 20 00:51:19 UTC 2026","Login User with incorrect email and password","loginUserWithIncorrectEmail.spec.js","",""
"","1655","TC_04 |Verify logout user","chromium","Mon Apr 20 00:51:19 UTC 2026","passed","Mon Apr 20 00:51:20 UTC 2026","Logout User","logoutUser.spec.js","",""
