"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1806","TC_13 |Verify product quantity in cart","chromium","Wed Mar 25 22:28:20 UTC 2026","passed","Wed Mar 25 22:28:22 UTC 2026","Product quantity in Cart","verifyProductQuantityInCartPage.spec.js","",""
"","6267","TC_15 |Verify Place Order: register before checkout","chromium","Wed Mar 25 22:27:49 UTC 2026","passed","Wed Mar 25 22:27:55 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","966","TC_07 |Verify test cases page","chromium","Wed Mar 25 22:28:14 UTC 2026","passed","Wed Mar 25 22:28:15 UTC 2026","Test Cases Page","testCasesPage.spec.js","",""
"","2549","TC_12 | Verify add products in cart","chromium","Wed Mar 25 22:27:09 UTC 2026","passed","Wed Mar 25 22:27:11 UTC 2026","Add Products in Cart","addProductsInCartPage.spec.js","",""
"","8321","TC_22 |Verify add to cart from recommended items","chromium","Wed Mar 25 22:27:14 UTC 2026","passed","Wed Mar 25 22:27:23 UTC 2026","Add to cart from Recommended items","addToCartFromRecommendedItems.spec.js","",""
"","7054","TC_24 |Verify download invoice after purchase order","chromium","Wed Mar 25 22:27:29 UTC 2026","passed","Wed Mar 25 22:27:36 UTC 2026","Download Invoice after purchase order","downloadInvoiceAfterPurchaseOrder.spec.js","",""
"","1339","TC_18 |Verify view category products","chromium","Wed Mar 25 22:28:29 UTC 2026","passed","Wed Mar 25 22:28:30 UTC 2026","View Category Products","viewCategoryProductsPage.spec.js","",""
"","1694","TC_19 |Verify view and cart brand products","chromium","Wed Mar 25 22:28:27 UTC 2026","passed","Wed Mar 25 22:28:29 UTC 2026","View and Cart Brand Products","viewCartBrandProducts.spec.js","",""
"","3587","TC_06 |Verify contact us form","chromium","Wed Mar 25 22:27:25 UTC 2026","passed","Wed Mar 25 22:27:29 UTC 2026","Contact Us Form","contactUsFormPage.spec.js","",""
"","1935","TC_02 |Verify login user with correct email and password","chromium","Wed Mar 25 22:27:37 UTC 2026","passed","Wed Mar 25 22:27:39 UTC 2026","Login User with correct email and password","loginUserWithCorrectEmailAndPassword.spec.js","",""
"","3093","TC_20 |Verify search products and verify cart after login","chromium","Wed Mar 25 22:28:11 UTC 2026","passed","Wed Mar 25 22:28:14 UTC 2026","Search Products and Verify Cart After Login","searchProductsAndVerifyCartAfterLogin.spec.js","",""
"","1523","TC_21 |Verify add review on product","chromium","Wed Mar 25 22:27:13 UTC 2026","passed","Wed Mar 25 22:27:14 UTC 2026","Add review on product","addReviewOnProduct.spec.js","",""
"","1235","TC_10 | Verify subscription in home page","chromium","Wed Mar 25 22:27:36 UTC 2026","passed","Wed Mar 25 22:27:37 UTC 2026","Verify Subscription in home page","homePage.spec.js","",""
"","2755","TC_26 |Verify scroll up without 'Arrow' button and scroll down functionality","chromium","Wed Mar 25 22:28:24 UTC 2026","passed","Wed Mar 25 22:28:27 UTC 2026","Verify Scroll Up without 'Arrow' button and Scroll Down functionality","verifyScrollUpWithoutArrowButtonAndScrollDown.spec.js","",""
"","2088","TC_09 |Verify search product","chromium","Wed Mar 25 22:28:09 UTC 2026","passed","Wed Mar 25 22:28:11 UTC 2026","Search Product","searchProductPage.spec.js","",""
"","1350","TC_03 |Verify login user with incorrect email and password","chromium","Wed Mar 25 22:27:39 UTC 2026","passed","Wed Mar 25 22:27:40 UTC 2026","Login User with incorrect email and password","loginUserWithIncorrectEmail.spec.js","",""
"","2157","TC_04 |Verify logout user","chromium","Wed Mar 25 22:27:40 UTC 2026","passed","Wed Mar 25 22:27:42 UTC 2026","Logout User","logoutUser.spec.js","",""
"","2445","TC_17 |Verify remove products from cart","chromium","Wed Mar 25 22:28:07 UTC 2026","passed","Wed Mar 25 22:28:09 UTC 2026","Remove Products From Cart","removeProductsFromCartPage.spec.js","",""
"","1267","TC_05 |Verify register user with existing email","chromium","Wed Mar 25 22:28:06 UTC 2026","passed","Wed Mar 25 22:28:07 UTC 2026","Register User with existing email","registerUserWithExistingEmail.spec.js","",""
"","5352","TC_16 |Verify Place Order: login before checkout","chromium","Wed Mar 25 22:27:55 UTC 2026","passed","Wed Mar 25 22:28:01 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","4383","TC_23 |Verify address details in checkout page","chromium","Wed Mar 25 22:28:15 UTC 2026","passed","Wed Mar 25 22:28:20 UTC 2026","Verify address details in checkout page","verifyAddressDetailsInCheckoutPage.spec.js","",""
"","916","TC_11 | Verify subscription in cart page","chromium","Wed Mar 25 22:27:24 UTC 2026","passed","Wed Mar 25 22:27:25 UTC 2026","Verify Subscription in Cart page","cartPage.spec.js","",""
"","6466","TC_14 |Verify Place Order: register while checkout","chromium","Wed Mar 25 22:27:42 UTC 2026","passed","Wed Mar 25 22:27:49 UTC 2026","Place Order: Register while Checkout","placeOrderRegisterWhileCheckoutPage.spec.js","",""
"","4949","TC_01 |Verify register user","chromium","Wed Mar 25 22:28:01 UTC 2026","passed","Wed Mar 25 22:28:06 UTC 2026","Register User","registerUserPage.spec.js","",""
"","1212","TC_08 |Verify all products and product detail page","chromium","Wed Mar 25 22:27:23 UTC 2026","passed","Wed Mar 25 22:27:24 UTC 2026","Verify All Products and product detail page","allProductsAndProductsDetailPage.spec.js","",""
"","2724","TC_25 |Verify scroll up using 'Arrow' button and scroll down functionality","chromium","Wed Mar 25 22:28:22 UTC 2026","passed","Wed Mar 25 22:28:24 UTC 2026","Verify Scroll Up using 'Arrow' button and Scroll Down functionality","verifyScrollUpUsingArrowButtonAndScrollDown.spec.js","",""
